facility_id,fiscal_year,amount_usd,funder_name,funder_type,program,relation,source_url,confidence,notes
a90fce0f33af9666,2021,1000583,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA21NOS4200070_013,high,USAspending CFDA 11.420 award(s): NA21NOS4200070
a90fce0f33af9666,2022,820530,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA22NOS4200037_013,high,USAspending CFDA 11.420 award(s): NA22NOS4200037
a90fce0f33af9666,2023,902583,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA22NOS4200037_013,high,USAspending CFDA 11.420 award(s): NA22NOS4200037
88a71bec0521cfdb,2015,594000,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA15NOS4200102_013,high,USAspending CFDA 11.420 award(s): NA15NOS4200102
88a71bec0521cfdb,2016,633322,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA16NOS4200087_013,high,USAspending CFDA 11.420 award(s): NA16NOS4200087
88a71bec0521cfdb,2017,633000,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA17NOS4200042_013,high,USAspending CFDA 11.420 award(s): NA17NOS4200042
88a71bec0521cfdb,2018,685953,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA18NOS4200065_013,high,USAspending CFDA 11.420 award(s): NA18NOS4200065
88a71bec0521cfdb,2019,770800,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA19NOS4200067_013,high,USAspending CFDA 11.420 award(s): NA19NOS4200067
88a71bec0521cfdb,2020,728214,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA20NOS4200072_013,high,USAspending CFDA 11.420 award(s): NA20NOS4200072
88a71bec0521cfdb,2021,758125,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA21NOS4200044_013,high,USAspending CFDA 11.420 award(s): NA21NOS4200044
88a71bec0521cfdb,2022,780500,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA22NOS4200069_013,high,USAspending CFDA 11.420 award(s): NA22NOS4200069
88a71bec0521cfdb,2023,1017113,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA23NOS4200161_013,high,USAspending CFDA 11.420 award(s): NA23NOS4200161
88a71bec0521cfdb,2024,880967,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA24NOSX420C0031_013,high,USAspending CFDA 11.420 award(s): NA24NOSX420C0031
b4519c13bf6c6b9d,2022,780500,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA22NOS4200131_013,high,USAspending CFDA 11.420 award(s): NA22NOS4200131
b4519c13bf6c6b9d,2023,1017113,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA23NOS4200233_013,high,USAspending CFDA 11.420 award(s): NA23NOS4200233
b4519c13bf6c6b9d,2024,880967,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA24NOSX420C0057_013,high,USAspending CFDA 11.420 award(s): NA24NOSX420C0057
d2d962156f88888d,2022,780500,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA22NOS4200132_013,high,USAspending CFDA 11.420 award(s): NA22NOS4200132
d2d962156f88888d,2023,1017113,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA23NOS4200237_013,high,USAspending CFDA 11.420 award(s): NA23NOS4200237
9b4911f8fe1a9ebd,2016,619322,NOAA Office for Coastal Management,federal,NERR Section 315 operating allocation,appropriation,https://www.usaspending.gov/award/ASST_NON_NA16NOS4200160_013,high,USAspending CFDA 11.420 award(s): NA16NOS4200160
