slug,label,description
repository,Data repository,"Long-term scientific data repository (EDI, DataONE, ESS-DIVE, BCO-DMO, NSIDC, Pangaea, Zenodo, Figshare)."
data-portal,Data portal,"Agency-operated data portal with search + download (NEON Data Portal, USGS NWIS, NOAA NCEI, USDA Ag Data Commons)."
thredds-server,THREDDS server,"OPeNDAP / THREDDS data server for gridded NetCDF (UCAR Unidata stack)."
erddap-server,ERDDAP server,"NOAA ERDDAP / IOOS-DMAC tabular + gridded data server."
stac-catalog,STAC catalog,"SpatioTemporal Asset Catalog (NASA, USGS Landsat / 3DEP, NOAA, AWS Open Data)."
oai-pmh,OAI-PMH provider,"Metadata-only Open Archives Initiative endpoint."
data-cube,Data cube,"Pre-aggregated multi-dimensional cube (Open Data Cube, GEE, Microsoft Planetary Computer)."
bucket,Cloud-bucket archive,"Direct cloud-storage object archive (S3 / GCS / Azure / OpenStack Swift)."
api,API service,"REST / GraphQL API not backed by a single addressable repository."
aggregator,Cross-archive aggregator,"Federation that wraps multiple archives (DataONE, GBIF, OBIS, GEOSS, NCEI)."
package-manager,Package distribution,"Python / R / Conda package distributing software + reference data (CRAN, PyPI, Bioconductor)."
